jmeno,adresa,email,tel,web
MUDr. Zelinka Jiøí,", 675 03 Budišov u Tøebíèe 356",,,
MUDr. Zelinka Jiøí,", 675 79 Tasov 240",,,
MUDr. Zeman Antonín,"I. Hermanna 4, 460 01 Liberec",,,
MUDr. Zeman Petr,"Husovo nám. 1032, 289 22 Lysá nad Labem",,,
MUDr. Zeman Rudolf,", 289 37 Louèeò 215",,,
MUDr. Zemánková Helena,"F. V. Krejèího 405, 560 02 Èeská Tøebová",,,
MUDr. Zemanová Hana,"Nádraní 891/114, 702 00 Ostrava - Moravská Ostrava",,,
MUDr. Zemanová Irena,"U Pùjèovny 5, 110 00 Praha 1",,,
MUDr. Zemanová Jana,"Husovo nám. 47, 258 01 Vlašim",,,
MUDr. Zemanová Lenka,", 739 41 Palkovice 317",,,
MUDr. Zemanová Simona,"28. øíjna 110/11, 405 01 Dìèín 1",,,
MUDr. Zhánìlová Ivana,"17. listopadu 1790, 708 00 Ostrava - Poruba",,,
MUDr. Zich Jaroslav,"Mánesova 3, 320 25 Plzeò",,,
MUDr. Zich Martin,"Stanka Vodièky 14, 301 47 Plzeò",,,
MUDr. Zikmundová Jana,"Školní 601/2, 736 01 Havíøov",,,
MUDr. Ziková Vìra,"K lukám 644, 142 00 Praha 4",,,
MUDr. Zíma Pavel,"Petra Fastra 260, 251 01 Øíèany u Prahy",,,
MUDr. Zima Petr,"Nad Šárkou 1168/128, 160 00 Praha 6",,,
MUDr. Zimèíková Marie,"Korunní 7, 120 00 Praha 2",,,
MUDr. Zimolová Dagmar,"Mìlnická 31, 250 01 Stará Boleslav",,,
MUDr. Zindrová Miriam,"Bezruèova 10, 360 01 Karlovy Vary",,,
MUDr. Zítková Zdeòka,"Na Okrouhlice 1233, 337 01 Rokycany",,,
MUDr. Zlámalová Milada,"Janáèkova 10, 796 01 Prostìjov",,,
MUDr. Zlámalová Yvona,"Libušina tøída 578/19, 623 00 Brno",,,
MUDr. Zlatohlávková Jana,"Masarykovo nám. 4, 695 01 Hodonín",,,
MUDr. Zlatuše Pecová s.r.o.,"Moskevská 3065/21, 434 01 Most",,,
MUDr. Zlomková Lenka,"Školní 1729, 755 01 Vsetín",,,
MUDr. Zmátlová Olga,"Pod Krejcárkem 975/2, 130 00 Praha 3",,,
MUDr. Zoubek Mikuláš,"ikova 1161, 358 01 Kraslice",,,
MUDr. Zoubelová Romana,"Mandysova 1434, 500 12 Hradec Králové 12",,,
MUDr. Zoubková Dana,"Masarykovo nám. 104, 334 01 Pøeštice",,,
MUDr. Zoubková Dana,"Masarykovo nám. 1, 334 01 Pøeštice",zoubkova.d@seznam.cz,,
MUDr. Zreika Marwan s.r.o.,"Tyršova 223, 595 01 Velká Bíteš",,,
MUDr. Zrubcová Kateøina,"Nábø. T. G. Masaryka 1517, 269 01 Rakovník",,,
MUDr. Zuchová Marie,"Marešova 8, 602 00 Brno",,,
MUDr. Zuzana Beerová,"Jiní 84, 250 82 Horoušany",,,
MUDr. Zuzana Jandejsková s.r.o.,"Stromovka 286/3, 460 10 Liberec",,,
"MUDr. Zuzana Kuèerová - praktická zubní lékaøka, s.r.o.","Bezruèova 98, 281 26 Tınec nad Labem",,,
MUDr. Zvolánková Hana,"Alej Svobody 55, 323 00 Plzeò",,,
MUDr. Zıka Aleš,"Masarykova 2431/94, 400 01 Ústí nad Labem",,,
MUDr. Zıka Aleš,"Masarykova 190/111, 400 01 Ústí nad Labem 1",,,
MUDr. áèková Blanka,"Politickıch vìzòù 508/20, 266 01 Beroun",,,www.rovnatko.cz
MUDr. áèková Jana,"Palackého nám. 22, 665 01 Rosice",,,
MUDr. ádníková Jana,"Nová 176, 757 01 Valašské Meziøíèí 1",,,
MUDr. ahour Vladimír,"V. B. Tøebízského 292, 289 11 Peèky",,,
MUDr. ahour Vladimír,"Chvalovická 326, 289 11 Peèky",,,
MUDr. ák Alexandr,"Èeská 232, 382 73 Vyšší Brod",,,
MUDr. ák Alexandr s.r.o.,"Èeská 232, 382 73 Vyšší Brod",,,
MUDr. ák Jan,"nám. Svobody 74, 696 81 Bzenec",,,
MUDr. ák Marcel,"K Nemocnici 2814, 272 01 Kladno",,,
MUDr. áková Leona,"Provazníkova 1655/82, 613 00 Brno 13",,,
MUDr. aloudková Alexandra,"Nušlova 4/2515, 155 00 Praha 5",,,
MUDr. aludová Lucie,"Lipovská 180, 790 01 Jeseník",,,
MUDr. ïánská Dagmar,"Bìlehorská 259/41, 169 00 Praha 6",,,
MUDr. ïárskı Tomáš,"Náchodská 240, 549 11 Dolní Radechová",zub.dolrad@seznam.cz,,
MUDr. emlièková Kateøina,"nám. 5. kvìtna 2/12, 250 88 Èelákovice",,,
MUDr. idek Ladislav,"Kollárova 605, 565 01 Choceò",,,
MUDr. ídková Ilona,"Benátky 672, 378 21 Kardašova Øeèice",,,
MUDr. itòanská Marcela,"Hlavní 34, 790 65 ulová",,,
MUDr. itòanská Marcela,"Denisova 1123, 790 01 Jeseník",,,
MUDr. ivcová Milena,"Reinerova 8, 163 00 Praha 6 - Øepy",,,
MUDr. ivná Kateøina,"Tachovská 609/8, 153 00 Praha 5",,,
MUDr. ivná Svatava,"Vokolkova 547/27, 405 02 Dìèín 2",,,
MUDr. ika Jan,"Evropská 133/32, 160 00 Praha 6",,,
MUDr. ika Josef,", 381 01 Èeskı Krumlov",,,
MUDr. iková Helena,"Evropská 32, 160 00 Praha 6",,,
MUDr. ilavská Stanislava,"Sv. Èecha 60, 612 00 Brno",,,
MUDr. ur Tajana,"Smetanova 661, 747 41 Hradec nad Moravicí",,,
MUDr. ùrková Adéla,"Polní 25, 695 01 Hodonín",,,
"MUDr., MDDr. Jaroslav Valach, Ph.D.","tø. Václava Klementa 869, 293 01 Mladá Boleslav II",,,
MUDr.Bánovcová Kateøina,"U Stromovky 1568/9a, 736 01 Havíøov - Mìsto",,,
MUDr.Helena Hanusová Záchovná a estetická stomatologie ,"Potìhy 60, 28563 Potìhy ",,,
MUDr.Jana Berková s.r.o.,"Mendlovo námìstí 149/16, 603 00 Brno",zubniordinace16@centrum.cz,,
MUDr.Jana Lemáková ORTODONCIE s.r.o.,"Nezvalova 1293/2a, 779 00 Olomouc",,,
MUDr.Koneènı Daniel,"Husovo nám. 47, 25801 Vlašim",daniel.konecny@volny.cz,,
MUDr.Mallátová Michaela Dentlaser s.r.o.,"Matice školské 1786/17, 370 01 Èeské Budìjovice",mallatova@seznam.cz,,www.mallatova.cz
MUDr.Tonèiè Jovo,"B.Egermanna 231, 473 01 Novı Bor",,,
Mùj Dent KB s.r.o.,"Bechyòova 2571/3, 160 00 Praha 6",,,
Mùj zubaø s.r.o.,"Topolová 340/1, 500 03 Hradec Králové",,,www.mujzubar.com
Mùj zubaø s.r.o.,"Kvasinská 129, 517 01 Solnice",,,www.mujzubar.com
mujzubnilekar s.r.o.,"Jeøábkova 1848/5, 602 00 Brno",,,
Multistage s.r.o.,"Londınská 160/39, 120 00 Praha 2",info@dental-office.cz,,www.dental-office.cz
MV Dent s.r.o.,"Praská 343/36, 276 01 Mìlník",,,
MV Dental s.r.o.,"Palackého námìstí 86, 386 01 Strakonice",,,
"my DENT cz, s.r.o.","Bìlohorská 257/45, 169 00 Praha 6",,,www.mydent.cz
Mykolaichuk Oleksandr,"Doudova 652/10, 147 00 Praha 4",,,
My-orto s.r.o.,"Palackého 3/1435, 693 01 Hustopeèe u Brna",info@my-orto.cz,,www.my-orto.cz
"MySmile Dentistry, s.r.o.","Krškova 807/21, 152 00 Praha 5",,,
myTREEDK a.s.,"Nerudova 2598/25a, 746 01 Opava",,,www.mytreedk.cz
Nadìje,"U Bulhara 46, 110 00 Praha 2",,,
NapaDent s.r.o.,"Sadová 1042, 763 61 Napajedla",napadent@seznam.cz,,
Nargiza Nikolaeva,"Sokolovská 1621, 356 01 Sokolov",,,
Náš zubaø s.r.o.,"Palackého 83, 273 09 Kladno",ordinace@nas-zubar.eu,,www.nas-zubar.eu
NatalDent s.r.o.,"námìstí 1. máje 12, 281 21 Èervené Peèky",,,https://nataldent.business.site/?utm_source=gmb&utm_medium=referral
Natalia Koshmai,"Bøí. Mrštíkù 3065/38, 690 02 Bøeclav",,,
NATURDENT - ESTHETICS s.r.o.,"Zbuzkova 175/51, 190 00 Praha 9",info@natur-dent.cz,,
NATURDENT - ORTODONCIE s.r.o.,"Zbuzkova 175/51, 190 00 Praha 9",info@naturdent-ortodoncie.cz,,www.natur-dent.cz
NATUR-DENT s.r.o.,"Zbuzkova 175/51, 190 00 Praha 9",,,
NAVE spol. s r.o.,"Kadláèkova 60/16, 742 21 Kopøivnice",,,
NCOM s.r.o.,"Lidická 977/23a, 602 00 Brno",,,
N-Dent s.r.o.,"námìstí T. G. Masaryka 29, 534 01 Holice",,,
N-Dent s.r.o.,"Staòkova 1345, 530 02 Pardubice, Zelené Pøedmìstí",,,
"NDStom s.r.o. - Lehovecká 1145/1, Praha 9","Lehovecká 1145/1, 198 00 Praha 9",,,
NebeProZuby s.r.o.,"Tvorkovskıch 223/13, 709 00 Ostrava, Mariánské Hory",,,
NEJ DENT s.r.o.,"Polská 1621/11, 120 00 Praha 2",,,
Nema Tetiana,"Šumperská 652, 199 00 Praha 9",snema@email.cz,,
"NEMDENT, s.r.o.","Masarykovo nám. 13, 398 11 Protivín",,,
Nemocnice AGEL Jeseník a.s.,"Lipovská 103, 790 32 Jeseník",,,
Nemocnice AGEL Novı Jièín a.s.,"K Nemocnici 57, 741 11 Novı Jièín",,,
"Nemocnice Èeské Budìjovice, a.s.","B. Nìmcové 54, 370 87 Èeské Budìjovice",,,
"Nemocnice Havíøov, pøíspìvková organizace","Dìlnická 969/26, 736 01 Havíøov",,,
"Nemocnice Karviná - Ráj, pøíspìvková organizace","Vydmuchov 399/5, 734 12 Karviná - Ráj",,,
"Nemocnice Kyjov, pøíspìvková organizace","Stráovská 1247/22, 697 01 Kyjov",,,
"Nemocnice Milosrdnıch sester sv. Karla Boromejského v Praze - Vlašská 36, Praha 1","Vlašská 336/36, 118 33 Praha 1",,,
Nemocnice na Homolce,"Roentgenova 37/2, 150 30 Praha 5",,,1www.homolka.cz
"Nemocnice Prachatice, a.s.","Nebahovská 1015, 383 20 Prahchatice",,,
"Nemocnice Rudolfa a Stefanie Benešov, a.s. nemocnice Støedoèeského kraje","Máchova 400, 256 46 Benešov",,,
"Nemocnice Strakonice, a.s.","Radomyšlská 336, 389 29 Strakonice",,,
"Nemocnice Tøinec, pøíspìvková organizace","Kaštanová 268, 739 61 Tøinec - Dolní Líštná",,,
Nemocnice ve Frıdku Místku,"El. Krásnohorské 321, 738 18 Frıdek Místek",,,
"Nemocnice Vyškov, p. o.","Purkyòova 235/36, 682 01 Vyškov",,,
NESDENT dentální centrum s.r.o.,"Dobrovského 1610/70, 612 00 Brno",,,
NESDENT dentální centrum s.r.o.,"Vìstonická 4304/1, 628 00 Brno",,,
NestaDent s.r.o.,"Šumperská 652, 199 00 Praha 9",,,
Neudent s.r.o.,"itavská 537/4, 460 07 Liberec",,,
Neudent s.r.o.,"itavská 537/4, 460 07 Liberec",,,
"NevDent, s.r.o.","Halasovo námìstí 597/1, 638 00 Brno",,,
NH Hospital a.s.,"K Nemocnici 1106, 268 01 Hoøovice",,,
Nice Dent s.r.o.,"Hradecká 1383, 535 01 Pøelouè",,,
NIKLdent s.r.o.,", 788 01 Oskava è.p. 167",nikldent@email.cz,,
NIKLdent s.r.o.,", 788 05 Libina è.p.",nikldent@email.cz,,
"NKDental, s.r.o.","Kunèická 28, 190 14 Praha 9",nkdental@seznam.cz,,www.nkdental.cz
NL Plus s.r.o.,", 330 32 Kozolupy 30",lorencova.hana@post.cz,,
N-Med s.r.o.,"Staòkova 1345, 530 02 Pardubice V - Zelené Pøedmìstí",N-med@seznam.cz,,www.lekarske-centrum.cz
NoKa dental klinik spol. s r.o.,"Lidická 1968/97a, 370 01 Èeské Budìjovice",,,
NONDOLET s.r.o.,"Dobnerova 678/21, 779 00 Olomouc",,,
Noor Kharboutli,"Masarykovo námìstí 82, 337 01 Rokycany",,,
NOPADENT s.r.o.,"Horova 1623/28, 616 00 Brno",,,
NOVADENT s.r.o.,"Karolíny Svìtlé 1662/1e, 736 01 Havíøov - Podlesí",,,
NOVADENT s.r.o.,"Selská 1591/8c, 736 01 Havíøov",novadent@centrum.cz,,www.novadent-havirov.cz
NOVAKDENT s.r.o.,"Vondøichova 1499, 293 01 Mladá Boleslav III",,,
NOVA-KLINIK DENT s.r.o.,"Londınská 135/29, 120 00 Praha 2",,,
NOVASTOM s.r.o.,"Šustova 1930/2, 148 00 Praha 4",novastomdent@gmail.com,,
"NOVASTOM s.r.o. - Legerova 1822/43, Praha 2","Legerova 1822/43, 120 00 Praha 2",,,
NOVODENT s.r.o.,"Vodòanská 1656/5, 198 00 Praha 9",,,
Nuovodent Mìlník s.r.o.,"Praská 343/36, 276 01 Mìlník",,,
NV Dent s.r.o.,"Národní 19/1, 360 01 Karlovy Vary 1",,,
O&O Dent s.r.o.,"Mlınská 558, 403 31 Ústí nad Labem",Brandy@seznam.cz,,
O. K. Dentes s.r.o.,"Kostelní 96/23, 702 00 Ostrava - Moravská Ostrava",,,
o´dent zubní ordinace s.r.o.,"Chittussiho 1001/9, 710 00 Ostrava - Slezská Ostrava",,,
"Oblastní nemocnice Kladno, a.s.,nemocnice Støedoèeského kraje","Vanèurova 1548, 272 59 Kladno",,,
Oblastní nemocnice Kolín a.s.,"ikova 146, 280 02 Kolín",,,
Oblastní nemocnice Mladá Boleslav a.s. nemocnice Støedoèeského kraje,"tøída Václava Klementa 147, 293 01 Mladá Boleslav",,,
"Oblastní nemocnice Mladá Boleslav, a.s., nemocnice Støedoèeského kraje","Laurinova 333/24, 293 01 Mladá Boleslav II",,,
"Oblastní nemocnice Pøíbram, a.s.","Podbrdská 269, 261 95 Pøíbram V - Zdaboø",,,
Oèní centrum Beroun  s.r.o.,"Talichova 8253, 266 01 Beroun",,,
ODONTOS s.r.o.,"Kartouzská 204/6, 150 00 Praha 5",,,
"Ochonskı a spol., s.r.o.","Partyzánská 1730/3, 747 05 Opava",,,
OK Dental Clinic s.r.o.,"Ïáblická 1003/2d, 182 00 Praha 8",,,www.okdental.cz
OLDENT - M s.r.o.,"Štítného 634/1, 779 00 Olomouc",info@oldent.cz,,www.oldent.cz
Oleksii  Khamchukov,"Politickıch vìzòù 508, 266 01 Beroun",,,
Olga Dekhtiar,"Budìjovická 401, 382 32 Velešín ",,,
Olšanská poliklinika s.r.o.,"Olšanská 7/2666, 130 00 Praha 3",,,
"OlzaDent, s.r.o.","Dr. Slámy 290/1, 737 01 Èeskı Tìšín",,,
"OlzaDent, s.r.o.","Nıdecká 500, 739 95 Bystøice nad Olší",,,
OMDental Plus s.r.o.,"Nerudova 160, 756 61 Ronov pod Radhoštìm",,,
OmegaMedical s.r.o.,"Jiøího z Podìbrad 1986/11, 276 01 Mìlník",,,
"Omident s.r.o. - Bachmaèská 1023/3, Ostrava","Bachmaèská 1023/3, 702 00 Ostrava",,,
Omni Dent Clinic s.r.o.,"Chlumova 206/21, 130 00 Praha 3",,,
Omni Dent Clinic s.r.o.,"Dìlnická 1020/54, 170 00 Praha 7",info@omnidentclinic.cz,,www.omnidentclinic.cz
ONE VISIT DENTISTRY s.r.o.,"Kvìtnové námìstí 14, 252 43 Prùhonice",,,
Onedent s.r.o.,"Durïákova 2049/48, 602 00 Brno",,,
Ontario Medical s.r.o.,"K Libuši 57/30, 148 00 Praha 4 - Kunratice",,,
Opava Dent s.r.o.,"Tìšínská 1586/66, 746 01 Opava",danhol@volny.cz,,
OptiDent s.r.o.,"Karlovarská 148/38, 301 00 Plzeò",recepce.karlovarska@optident.cz,,
OptiDent s.r.o.,"Lidická 28a, 323 00 Plzeò, Severní Pøedmìstí",,,
OptiDent s.r.o.,"Sokolovská 1099/80, 323 00 Plzeò",,,
OptiEndo s.r.o.,"Bystøice 1562, 739 95 Bystøice nad Olší",info@optiendo.cz,,
OptimaStom s.r.o.,"Na Hranicích 674/18, 181 00 Praha 8",optimastom@email.cz,,
OPTIMO dental studio s.r.o.,"Tyršova 1438/38, 702 00 Ostrava",optimo.dental@gmail.com,,
Oralcare s.r.o.,"Rokytova 2910/10, 615 00 Brno",,,
ORAPEX s.r.o.,"Nová 1869/1, 370 01 Èeské Budìjovice",,,
"Ordentall, s.r.o.","Plachého 884/27, 301 00 Plzeò",,,
ORDINACE  NA MARJÁNCE s.r.o.,"Bìlohorská 265/29, 169 00 Praha 6",,,
"Ordinace ""U Homolky""","K Vodojemu 7, 326 00 Plzeò",ordinace@jiri-zemen.cz,,www.jiri-zemen.cz
Ordinace Dobromysl s.r.o.,"Podøipská 17, 411 85 Horní Beøkovice",,,www.ordinace-dobromysl.cz
ORDINACE NA MARJÁNCE s.r.o.,"Boleslavova 1529/28, 140 00 Praha 4",,,
Ordinace Šafaøíkovi s.r.o.,"Uruguayská 272/3, 120 00 Praha 2",info@ordinacesafarikovi.cz,,
Ordinace Velkı s.r.o.,"Jeremenkova 1056/40, 779 00 Olomouc",,,
Ordinace ZUBIKO s.r.o.,"Benešova 511, 349 01 Støíbro",,,
Ordinace zubní péèe Zábøeh s.r.o.,"Beuruèova 2037/1a, 789 01 Zábøeh",,,
oricare s.r.o.,", 330 38 Únìšov 68",,,
ORIDENT s.r.o.,"Rybkova 338/9, 602 00 Brno",,,
OrigDent s.r.o.,"alej Svobody 923/80, 323 00 Plzeò",,,
Orikhivskyi Petro,"Škroupova 1310/36, 430 01 Chomutov",,,ordinaceorikhivskyi.webnode.cz
ORISHEALTH s.r.o.,"Kozinova 5296/5, 722 00 Ostrava",,,
ORLOVÁ DENTAL s.r.o.,"Rydultowská 1370, 735 14 Orlová",,,
ORODENT s.r.o.,"Bernolákova 2008/11, 142 00 Praha 4",,,
ORT HK s.r.o.,"Bratøí Štefanù 895/1, 500 03 Hradec Králové",,,
Ortho - Herbst s.r.o.,"Za Zelenou liškou 473/16, 140 00 Praha 4",,,
Ortho Dent s.r.o.,"Gajdošova 4392/7, 615 00 Brno",,,
Ortho Hering s.r.o.,"námìstí Winstona Churchilla 1800/2, 130 00 Praha 3",info@orthohering.cz,,
ORTHO POINT s.r.o.,"námìstí Interbrigády 948/1, 160 00 Praha 6",,,
Ortho Salutogenesis s.r.o.,"Dlouhá 93, 261 01 Pøíbram",,,
OrthoCare s.r.o.,"Blanická 1060/32, 120 00 Praha 2",,,
Orthodontist s.r.o.,"Devotyho 804, 530 02 Pardubice",,,
ORTHOESTHETIC s.r.o.,"Svìtov 22, 785 01 Šternberk",,,
ORTHOFIX s.r.o.,"Praská 3/3643, 276 01 Mìlník",,,
Ortholeo s.r.o.,"Chlumèanského 497/5, 180 00 Praha 8",,,
Ortholine s.r.o.,"Palackého 128/47, 466 04 Jablonec nad Nisou",info@ortholine.cz,,ortholine.cz
ORTHOPRAGUE s.r.o.,"Kodaòská 572/47, 101 00 Praha 10",ivanov@orthoprague.cz,,www.orthoprague.cz
Orthostudio s.r.o.,"nám. Winstona Churchilla 188/2, 130 00 Praha 3",,,
Orthostudio s.r.o.,"Evropská 133/32, 160 00 Praha 6",,,
Orthoway s.r.o.,"Zahájská 431, 570 01 Litomyšl",,,
ORTHOZLIN s.r.o.,"tøída Tomáše Bati 3062/95, 760 01 Zlín",,,
Orto Giraffe s.r.o.,"Zámecká 166, 747 41 Hradec nad Moravicí",,,
Orto Giraffe s.r.o.,"U Staré pošty 54, 738 01 Frıdek-Místek",,,
"ORTO MEDICO s.r.o. - Sokolovská 131/86, Praha 8","Sokolovská 131/86, 186 00 Praha 8",,,www.drfilipova.cz
Orto Plum Advanced s.r.o.,"Ouvalova 390/5, 274 01 Slanı",,,
Orto Plum s.r.o.,"Ouvalova 390, 274 01 Slanı",,,
ORTO POINT s.r.o.,"Nádraní 548, 539 01 Hlinsko v Èechách",,,
Orto22 s.r.o. - ORTODONCIE,"Pod Nemocnicí 2503, 440 01 Louny",,,
OrtoArt - ortodontická ordinace s.r.o.,"Sobìslavská 2062/44, 130 00 Praha 3",,,
ORTO-BRAND s.r.o.,"Mohelnická 800, 783 91 Unièov",,,
Ortocare s.r.o.,"K Hrnèíøùm 25, 149 00 Praha 4",,,
ORTODENS s.r.o.,"Petra Fastra 260/2, 251 01 Øíèany u Prahy",,,
Ortodental Karel s.r.o.,"Politickıch vìznù 40, 266 01 Beroun",,,
Ortodental Karel s.r.o.,"Komenského 49/6, 268 01 Hoøovice",,,
Ortodental s.r.o.,"Josefa Hoffmanna 1515, 272 01 Kladno",,,www.rovnatkakladno.cz
ORTODONCIE - MUDr. L. Jedlièková s.r.o.,"Masarykovo námìstí 76, 664 71 Veverská Bítıška",,,
ORTODONCIE - MUDr. L. Jedlièková s.r.o.,"Èeská 1/3, 602 00 Brno",,,
Ortodoncie - MUDr. Marta Novotná s.r.o.,"Marthonova 291/1, 796 04 Prostìjov",,,
Ortodoncie - Olga Kolesova s.r.o.,"Lumírova 105/21, 128 00 Praha 2",,,
Ortodoncie a stomatologie Brno s.r.o.,"Lidická 965/31, 602 00 Brno",,,
Ortodoncie a stomatologie s.r.o.,"17. listopadu 14, 586 01 Jihlava",,,
"Ortodoncie a stomatologie, s.r.o.","Nádraní 293, 377 01 Jindøichùv Hradec",,,www.ortodonciejh.cz
Ortodoncie Dvùr Králová s.r.o.,"Riegrova 328, 544 01 Dvùr Králové nad Labem",,,
Ortodoncie Halíøová s.r.o.,"Tvorkovskıch 876/24, 709 00 Ostrava",,,
Ortodoncie Hodonín s.r.o.,"Horní Valy 3859/4, 695 01 Hodonín",,,
Ortodoncie Cheb s.r.o.,"Hradební 1096/18, 350 02 Cheb",,,
ORTODONCIE Jedlièka s.r.o.,"Palackého tøída 1802/129, 612 00 Brno",,,
Ortodoncie Jindra s.r.o.,"Matice školské 1786/17, 370 01 Èeské Budìjovice",,,
Ortodoncie Kyjov s.r.o.,"Svatoborská 421/81, 697 01 Kyjov",,,
"Ortodoncie Lékaøská, s.r.o.","Lékaøská 306/1a, 150 00 Praha 5",,,
ORTODONCIE MDDr. Mája Konvalinková s.r.o.,"Tyršovo námìstí 162, 686 01 Uherské Hradištì",,,
Ortodoncie Morávková s.r.o.,"Antala Staška 558/10, 500 09 Hradec Králové",,,
Ortodoncie MUDr. E. Matìjka s.r.o.,"Zdeòka Fibicha 2866/62, 434 01 Most",,,
Ortodoncie MUDr. Pavel Michalík s.r.o.,"Tyršovo nábøeí 7143, 760 01 Zlín",,,www.ortodoncie-zlin.cz
Ortodoncie NJ s.r.o.,"Msgr. Šrámka 1028/11, 741 01 Novı Jièín",,,
Ortodoncie Piklová s.r.o.,"Bedøicha Smetany 1123/24, 680 01 Boskovice",,,
ORTODONCIE Pokorní s.r.o.,"Ant. Dvoøáka 938/4, 678 01 Blansko","pokorny.orto@gmail.co, pokorna.orto@gmail.com",,
Ortodoncie Poláèková s.r.o.,"Olšanská 2666/7, 130 00 Praha 3",,,www.ortodoncie-polackova.cz
Ortodoncie Poruba s.r.o.,"Ševèenkova 837/6, 703 00 Ostrava",,,
ORTODONCIE PRAHA s.r.o.,"Makovského 1339/16, 163 00 Praha 6",info@ortodoncie-praha.cz,,www.ortodoncie-praha.cz
"Ortodoncie Pøerov, s.r.o.","Trávnická 2198/2, 796 01 Prostìjov",,,
"Ortodoncie Pøerov, s.r.o.","Sportovní 898, 798 41 Kostelec na Hané",,,
"Ortodoncie Pøerov, s.r.o.","Smetanova 1969/11, 750 02 Pøerov",,,
ORTODONCIE Rošková s.r.o.,"Melantrichova 539/21, 796 01 Prostìjov",,,
Ortodoncie Sládek s.r.o.,"U Polikliniky 1289, 698 01 Veselí nad Moravou",,,
"Ortodoncie Strojilová, s.r.o.","Boeny Nìmcové 1661/12, 751 02 Pøerov",,,
ORTODONCIE TEPLICE s.r.o.,"Èeskobratrská 441/12, 415 01 Teplice",,,
ORTODONCIE.NET s.r.o.,"Nad Závìrkou 489/16, 169 00 Praha 6",,,
Orto-Duo s.r.o.,"Pivovarská 214/4, 370 01 Èeské Budìjovice",,,
Orto-Duo s.r.o.,"Pivovarská 217/6, 370 01 Èeské Budìjovice",,,
ORTOFLEX s.r.o.,"Masarykovo nám. 6, 595 01 Velká Bíteš",ortodoncie.dospisilova@seznam.cz,,www.ortodoncie.com
ORTOFLEX s.r.o.,"Lidická 977/23a, 602 00 Brno",ortodoncie.dospisilova@seznam.cz,,
OrtoHelp s.r.o.,"Unhošská 2533, 272 01 Kladno",rovnatka-kladno@seznam.cz,,
ORTOINDENT s.r.o.,"Janáèkova 733, 753 01 Hranice",,,
OrtoJih s.r.o.,"Matice školské 1786/17, 370 01 Èeské Budìjovice 7",ordinace@ortojih.cz,,
Ortolight s.r.o.,"U Hostivaøského nádraí 1328/6, 102 00 Praha 10",,,
Ortoline Luhaèovice s.r.o.,"Partyzánù 2174, 688 01 Uherskı Brod",,,
Ortoline Luhaèovice s.r.o.,"Krátká 798, 766 01 Valašské Klobouky",,,
Ortoline Luhaèovice s.r.o.,"Antonínova 4465, 760 01 Zlín",,,
OrtoMan ortodoncie s.r.o.,"Komenského 171/9, 250 01 Brandıs nad Labem-Stará Boleslav",ortomanortodoncie@gmail.com,,
ORTONEO s.r.o.,"Údolní 316/94, 142 00 Praha 4",,,
Ortoprima s.r.o.,"Masarykova 699/9, 460 01 Liberec",,,
ortorama s.r.o.,"Politickıch vìzòù 508/20, 266 01 Beroun-Mìsto",,,
"ORTOSIMO, s.r.o.","Václavská 418, 252 63 Roztoky u Prahy",,,
OrtoSmile s.r.o.,"Øímská 1276/36, 120 00 Praha 2",,,
ORTO-TEP s.r.o.,"Vrchlického 1036/7, 415 01 Teplice",,,
ORTOVIA s.r.o.,"Werichova 1145/23, 152 00 Praha 5",ortovia@ortovia.com,,www.ortovia.com
Ortovize s.r.o.,"Kateøinská 495/4, 128 00 Praha 2",,,
ORYSHCHAK s.r.o.,"Soukalova 2180/6, 143 00 Praha 4",,,
OVdent s.r.o.,"Lidická 1023/63a, 602 00 Brno",ovdent@seznam.cz,,www.ovdent.cz
OXENFREE s.r.o.,"5. kvìtna 414, 561 69 Králíky",,,
OXENFREE s.r.o.,"Benešovo námìstí 123, 594 51 Køianov",,,
"OxiDent s.r.o.   - Masarykovo námìstí 135/12, Slanı","Masarykovo námìstí 135/12, 274 01 Slanı",oxidentslany@gmail.com,,www.oxident.cz
OZAN centrum s.r.o.,"Ke Koulce 1704/6, 150 00 Praha 5",,,
"P - DENT, s.r.o.","Masarykovo nám. 13, 398 11 Protivín",,,
P&P dental s.r.o.,"Zachariášova 679/4, 370 04 Èeské Budìjovice",,,
P.C.D. spol. s r.o.,"1. máje 716, 463 34 Hrádek nad Nisou",sek@vol.cz,,
P.S.Dent s.r.o.,"Mikoláše Alše 587, 282 01 Èeskı Brod",,,
P+D DENTAL s.r.o.,"Rybníèek 126, 753 66 Hustopeèe nad Beèvou",,,
P+D DENTAL s.r.o.,", 756 51 Zašová 42",,,
P3K DENTAL s.r.o.,"Kamenice 113, 547 01 Náchod",,,
PadaDent s.r.o.,"Dukelská 294, 441 01 Podboøany",,,
Pála Dent s.r.o.,"Vodní 4691/23, 796 01 Prostìjov",,,
Palace Dental Clinic s.r.o.,"Dlouhá 727/39, 110 00 Praha 1",,,
"PALMADENT - ORTO, s.r.o.","Kollárova 330, 282 01 Èeskı Brod",,,
"PALMADENT - ORTO, s.r.o.","Kollárova 335, 282 01 Èeskı Brod",,,
PANADENT s.r.o.,"J.A.Bati 5645, 760 01 Zlín",panadent@seznam.cz,,
Papesch Dent s.r.o.,"Partyzánská 1730/3, 747 05 Opava - Kateøinky",,,
Paracelsus s.r.o.,"areál Chemopetrol a.s., 436 70 Litvínov 1",,,
